age_group,sex,country,year,count_in,count_out
Y84,F,IT,2014,103,90.0
Y84,F,IT,2015,76,80.0
Y84,F,IT,2016,80,63.0
Y84,F,IT,2017,87,63.0
Y84,F,IT,2018,108,74.0
Y84,F,IT,2019,145,66.0
Y84,M,IT,1990,25,10.0
Y84,M,IT,1991,18,13.0
Y84,M,IT,1992,19,23.0
Y84,M,IT,1993,16,24.0
Y84,M,IT,1994,32,27.0
Y84,M,IT,1995,23,16.0
Y84,M,IT,1996,28,17.0
Y84,M,IT,1997,23,13.0
Y84,M,IT,1998,19,8.0
Y84,M,IT,1999,25,19.0
Y84,M,IT,2000,23,21.0
Y84,M,IT,2001,14,13.0
Y84,M,IT,2002,28,12.0
Y84,M,IT,2003,40,27.0
Y84,M,IT,2004,69,36.0
Y84,M,IT,2005,35,32.0
Y84,M,IT,2006,46,46.0
Y84,M,IT,2007,41,19.0
Y84,M,IT,2008,55,39.0
Y84,M,IT,2009,69,34.0
Y84,M,IT,2010,48,35.0
Y84,M,IT,2011,50,39.0
Y84,M,IT,2012,55,60.0
Y84,M,IT,2013,89,45.0
Y84,M,IT,2014,62,62.0
Y84,M,IT,2015,50,71.0
Y84,M,IT,2016,60,56.0
Y84,M,IT,2017,90,74.0
Y84,M,IT,2018,75,51.0
Y84,M,IT,2019,101,66.0
Y84,F,LI,2008,0,0.0
Y84,F,LI,2009,0,0.0
Y84,F,LI,2010,1,0.0
Y84,F,LI,2011,0,1.0
Y84,F,LI,2012,0,0.0
Y84,F,LI,2013,1,0.0
Y84,F,LI,2014,1,0.0
Y84,F,LI,2015,0,0.0
Y84,F,LI,2016,0,0.0
Y84,F,LI,2017,0,1.0
Y84,F,LI,2018,0,0.0
Y84,F,LI,2019,0,0.0
Y84,M,LI,2008,0,0.0
Y84,M,LI,2009,0,0.0
Y84,M,LI,2010,0,0.0
Y84,M,LI,2011,0,0.0
Y84,M,LI,2012,0,0.0
Y84,M,LI,2013,0,0.0
Y84,M,LI,2014,0,0.0
Y84,M,LI,2015,0,0.0
Y84,M,LI,2016,0,0.0
Y84,M,LI,2017,0,0.0
Y84,M,LI,2018,0,0.0
Y84,M,LI,2019,0,0.0
Y84,F,LT,2013,2,16.0
Y84,F,LT,2014,3,14.0
Y84,F,LT,2015,1,16.0
Y84,F,LT,2016,6,11.0
Y84,F,LT,2017,2,6.0
Y84,F,LT,2018,4,8.0
Y84,F,LT,2019,6,10.0
Y84,M,LT,2013,0,2.0
Y84,M,LT,2014,1,2.0
Y84,M,LT,2015,1,3.0
Y84,M,LT,2016,3,2.0
Y84,M,LT,2017,0,0.0
Y84,M,LT,2018,1,4.0
Y84,M,LT,2019,2,0.0
Y84,F,LU,2013,8,3.0
Y84,F,LU,2014,7,5.0
Y84,F,LU,2015,2,5.0
Y84,F,LU,2016,5,5.0
Y84,F,LU,2017,7,6.0
Y84,F,LU,2018,4,5.0
Y84,F,LU,2019,8,9.0
Y84,M,LU,2013,5,0.0
Y84,M,LU,2014,5,1.0
Y84,M,LU,2015,3,3.0
Y84,M,LU,2016,2,7.0
Y84,M,LU,2017,3,5.0
Y84,M,LU,2018,3,5.0
Y84,M,LU,2019,3,4.0
Y84,F,LV,1991,13,26.0
Y84,F,LV,1992,1,43.0
Y84,F,LV,1993,5,31.0
Y84,F,LV,1994,2,23.0
Y84,F,LV,1995,4,22.0
Y84,F,LV,1996,6,22.0
Y84,F,LV,1997,5,13.0
Y84,F,LV,1998,2,17.0
Y84,F,LV,1999,3,8.0
Y84,F,LV,2000,13,30.0
Y84,F,LV,2001,4,41.0
Y84,F,LV,2002,8,9.0
Y84,F,LV,2003,5,14.0
Y84,F,LV,2004,6,17.0
Y84,F,LV,2005,18,30.0
Y84,F,LV,2006,27,15.0
Y84,F,LV,2007,26,30.0
Y84,F,LV,2008,2,12.0
Y84,F,LV,2009,16,17.0
Y84,F,LV,2010,22,12.0
Y84,F,LV,2011,6,27.0
Y84,F,LV,2012,12,20.0
Y84,F,LV,2013,4,18.0
Y84,F,LV,2014,7,8.0
Y84,F,LV,2015,9,10.0
Y84,F,LV,2016,5,11.0
Y84,F,LV,2017,5,7.0
Y84,F,LV,2018,4,20.0
Y84,F,LV,2019,5,9.0
Y84,M,LV,1991,2,9.0
Y84,M,LV,1992,3,9.0
Y84,M,LV,1993,1,10.0
Y84,M,LV,1994,1,8.0
Y84,M,LV,1995,4,5.0
Y84,M,LV,1996,2,9.0
Y84,M,LV,1997,2,9.0
Y84,M,LV,1998,2,3.0
Y84,M,LV,1999,1,2.0
Y84,M,LV,2000,7,29.0
Y84,M,LV,2001,1,14.0
Y84,M,LV,2002,11,5.0
Y84,M,LV,2003,3,13.0
Y84,M,LV,2004,5,17.0
Y84,M,LV,2005,9,7.0
Y84,M,LV,2006,19,7.0
Y84,M,LV,2007,2,11.0
Y84,M,LV,2008,0,8.0
Y84,M,LV,2009,7,5.0
Y84,M,LV,2010,7,11.0
Y84,M,LV,2011,6,10.0
Y84,M,LV,2012,2,9.0
Y84,M,LV,2013,2,7.0
Y84,M,LV,2014,3,2.0
Y84,M,LV,2015,2,3.0
Y84,M,LV,2016,2,4.0
Y84,M,LV,2017,6,8.0
Y84,M,LV,2018,1,4.0
Y84,M,LV,2019,2,5.0
Y84,F,MK,2008,2,0.0
Y84,F,MK,2009,0,0.0
Y84,F,MK,2010,0,0.0
Y84,F,MK,2011,0,0.0
Y84,F,MK,2012,0,0.0
Y84,F,MK,2013,0,0.0
Y84,F,MK,2014,1,2.0
Y84,F,MK,2015,1,0.0
Y84,F,MK,2016,0,0.0
Y84,F,MK,2017,1,0.0
Y84,F,MK,2018,0,0.0
Y84,M,MK,2008,1,0.0
Y84,M,MK,2009,1,0.0
Y84,M,MK,2010,0,0.0
Y84,M,MK,2011,0,0.0
Y84,M,MK,2012,1,0.0
Y84,M,MK,2013,0,0.0
Y84,M,MK,2014,1,1.0
Y84,M,MK,2015,1,0.0
Y84,M,MK,2016,0,0.0
Y84,M,MK,2017,0,0.0
Y84,M,MK,2018,0,0.0
Y84,F,NL,2008,15,9.0
Y84,F,NL,2009,24,11.0
Y84,F,NL,2010,22,19.0
Y84,F,NL,2011,14,18.0
Y84,F,NL,2012,21,13.0
Y84,F,NL,2013,27,17.0
Y84,F,NL,2014,34,26.0
Y84,F,NL,2015,15,26.0
Y84,F,NL,2016,29,16.0
Y84,F,NL,2017,18,16.0
Y84,F,NL,2018,23,14.0
Y84,F,NL,2019,29,13.0
Y84,M,NL,2008,15,14.0
Y84,M,NL,2009,11,12.0
Y84,M,NL,2010,12,11.0
Y84,M,NL,2011,15,6.0
Y84,M,NL,2012,18,12.0
Y84,M,NL,2013,12,8.0
Y84,M,NL,2014,21,11.0
Y84,M,NL,2015,23,15.0
Y84,M,NL,2016,21,10.0
Y84,M,NL,2017,22,13.0
Y84,M,NL,2018,18,16.0
Y84,M,NL,2019,31,14.0
Y84,F,NO,2008,2,2.0
Y84,F,NO,2009,4,4.0
Y84,F,NO,2010,4,5.0
Y84,F,NO,2011,8,5.0
Y84,F,NO,2012,1,4.0
Y84,F,NO,2013,3,5.0
Y84,F,NO,2014,7,3.0
Y84,F,NO,2015,1,1.0
Y84,F,NO,2016,5,0.0
Y84,F,NO,2017,2,4.0
Y84,F,NO,2018,4,5.0
Y84,F,NO,2019,7,1.0
Y84,M,NO,2008,5,1.0
Y84,M,NO,2009,4,2.0
Y84,M,NO,2010,6,6.0
Y84,M,NO,2011,4,5.0
Y84,M,NO,2012,3,1.0
Y84,M,NO,2013,5,5.0
Y84,M,NO,2014,6,3.0
Y84,M,NO,2015,6,3.0
Y84,M,NO,2016,9,6.0
Y84,M,NO,2017,8,4.0
Y84,M,NO,2018,5,3.0
Y84,M,NO,2019,8,1.0
Y84,F,PL,2009,54,151.0
Y84,F,PL,2010,46,106.0
Y84,F,PL,2011,34,99.0
Y84,F,PL,2012,38,116.0
Y84,F,PL,2013,172,109.0
Y84,F,PL,2014,68,105.0
Y84,F,PL,2015,99,150.0
Y84,F,PL,2016,47,106.0
Y84,F,PL,2017,52,104.0
Y84,F,PL,2018,87,142.0
Y84,F,PL,2019,120,77.0
Y84,M,PL,2009,27,62.0
Y84,M,PL,2010,27,53.0
Y84,M,PL,2011,42,27.0
Y84,M,PL,2012,19,39.0
Y84,M,PL,2013,85,68.0
Y84,M,PL,2014,33,33.0
Y84,M,PL,2015,94,89.0
Y84,M,PL,2016,41,70.0
Y84,M,PL,2017,64,36.0
Y84,M,PL,2018,76,53.0
Y84,M,PL,2019,70,100.0
Y84,F,SE,1998,7,14.0
Y84,F,SE,1999,7,11.0
Y84,F,SE,2000,7,6.0
Y84,F,SE,2001,9,10.0
Y84,F,SE,2002,9,7.0
Y84,F,SE,2003,13,11.0
Y84,F,SE,2004,10,16.0
Y84,F,SE,2005,14,16.0
Y84,F,SE,2006,11,15.0
Y84,F,SE,2007,12,14.0
Y84,F,SE,2008,18,11.0
Y84,F,SE,2009,9,15.0
Y84,F,SE,2010,11,21.0
Y84,F,SE,2011,16,11.0
Y84,F,SE,2012,11,12.0
Y84,F,SE,2013,15,14.0
Y84,F,SE,2014,18,20.0
Y84,F,SE,2015,12,12.0
Y84,F,SE,2016,25,8.0
Y84,F,SE,2017,15,15.0
Y84,F,SE,2018,17,8.0
Y84,F,SE,2019,11,10.0
Y84,M,SE,1998,8,4.0
Y84,M,SE,1999,6,8.0
Y84,M,SE,2000,7,7.0
Y84,M,SE,2001,4,4.0
Y84,M,SE,2002,10,5.0
Y84,M,SE,2003,11,7.0
Y84,M,SE,2004,8,12.0
Y84,M,SE,2005,5,6.0
Y84,M,SE,2006,13,6.0
Y84,M,SE,2007,14,11.0
Y84,M,SE,2008,6,10.0
Y84,M,SE,2009,11,5.0
Y84,M,SE,2010,14,8.0
Y84,M,SE,2011,8,3.0
Y84,M,SE,2012,5,12.0
Y84,M,SE,2013,13,3.0
Y84,M,SE,2014,15,12.0
Y84,M,SE,2015,19,5.0
Y84,M,SE,2016,18,8.0
Y84,M,SE,2017,10,16.0
Y84,M,SE,2018,8,8.0
Y84,M,SE,2019,10,13.0
Y84,F,SK,1995,6,0.0
Y84,F,SK,1996,3,0.0
Y84,F,SK,1997,2,0.0
Y84,F,SK,1998,2,0.0
Y84,F,SK,1999,1,0.0
Y84,F,SK,2000,3,0.0
Y84,F,SK,2001,0,0.0
Y84,F,SK,2002,1,0.0
Y84,F,SK,2003,2,1.0
Y84,F,SK,2004,3,0.0
Y84,F,SK,2005,4,1.0
Y84,F,SK,2006,3,2.0
Y84,F,SK,2007,3,0.0
Y84,F,SK,2013,3,0.0
Y84,F,SK,2014,0,2.0
Y84,F,SK,2015,1,0.0
Y84,F,SK,2016,1,1.0
Y84,F,SK,2017,2,1.0
Y84,F,SK,2018,2,0.0
Y84,F,SK,2019,0,0.0
Y84,M,SK,1995,0,0.0
Y84,M,SK,1996,0,0.0
Y84,M,SK,1997,1,0.0
Y84,M,SK,1998,0,0.0
Y84,M,SK,1999,1,0.0
Y84,M,SK,2000,2,0.0
Y84,M,SK,2001,1,0.0
Y84,M,SK,2002,0,0.0
Y84,M,SK,2003,1,0.0
Y84,M,SK,2004,4,0.0
Y84,M,SK,2005,0,3.0
Y84,M,SK,2006,1,0.0
Y84,M,SK,2007,1,1.0
Y84,M,SK,2013,0,0.0
Y84,M,SK,2014,4,0.0
Y84,M,SK,2015,1,1.0
Y84,M,SK,2016,3,0.0
Y84,M,SK,2017,0,2.0
Y84,M,SK,2018,1,0.0
Y84,M,SK,2019,1,0.0
Y85,F,BE,2010,23,25.0
Y85,F,BE,2013,19,38.0
Y85,F,BE,2014,25,31.0
Y85,F,BE,2015,27,40.0
Y85,F,BE,2016,26,28.0
Y85,F,BE,2017,34,38.0
Y85,F,BE,2018,29,35.0
Y85,F,BE,2019,36,33.0
Y85,M,BE,2010,12,16.0
Y85,M,BE,2013,12,20.0
Y85,M,BE,2014,9,17.0
Y85,M,BE,2015,16,20.0
Y85,M,BE,2016,12,20.0
Y85,M,BE,2017,15,24.0
Y85,M,BE,2018,16,24.0
Y85,M,BE,2019,20,25.0
Y85,F,BG,2013,11,5.0
Y85,F,BG,2014,7,6.0
Y85,F,BG,2015,8,3.0
Y85,F,BG,2016,5,6.0
Y85,F,BG,2017,10,10.0
Y85,F,BG,2018,8,3.0
Y85,F,BG,2019,9,6.0
Y85,M,BG,2013,5,3.0
Y85,M,BG,2014,8,2.0
Y85,M,BG,2015,7,2.0
Y85,M,BG,2016,6,5.0
Y85,M,BG,2017,4,2.0
Y85,M,BG,2018,7,2.0
Y85,M,BG,2019,13,2.0
Y85,F,CH,1990,11,24.0
Y85,F,CH,1991,17,29.0
Y85,F,CH,1992,19,32.0
Y85,F,CH,1993,17,28.0
Y85,F,CH,1994,17,32.0
Y85,F,CH,1995,15,39.0
Y85,F,CH,1996,12,36.0
Y85,F,CH,1997,15,24.0
Y85,F,CH,1998,18,24.0
Y85,F,CH,1999,20,28.0
Y85,F,CH,2000,9,26.0
Y85,F,CH,2001,16,19.0
Y85,F,CH,2002,9,18.0
Y85,F,CH,2003,13,17.0
Y85,F,CH,2004,19,31.0
Y85,F,CH,2005,17,27.0
Y85,F,CH,2006,23,34.0
Y85,F,CH,2007,19,23.0
Y85,F,CH,2008,29,31.0
Y85,F,CH,2009,22,41.0
Y85,F,CH,2010,20,33.0
Y85,F,CH,2011,23,39.0
Y85,F,CH,2012,32,37.0
Y85,F,CH,2013,41,29.0
Y85,F,CH,2014,28,32.0
Y85,F,CH,2015,32,46.0
Y85,F,CH,2016,25,44.0
Y85,F,CH,2017,25,49.0
Y85,F,CH,2018,24,40.0
Y85,F,CH,2019,22,44.0
Y85,M,CH,1990,2,13.0
Y85,M,CH,1991,9,20.0
Y85,M,CH,1992,13,21.0
Y85,M,CH,1993,15,15.0
Y85,M,CH,1994,11,18.0
Y85,M,CH,1995,10,19.0
Y85,M,CH,1996,5,24.0
Y85,M,CH,1997,12,16.0
Y85,M,CH,1998,13,9.0
Y85,M,CH,1999,10,7.0
Y85,M,CH,2000,10,17.0
Y85,M,CH,2001,3,14.0
Y85,M,CH,2002,1,14.0
Y85,M,CH,2003,4,17.0
Y85,M,CH,2004,7,16.0
Y85,M,CH,2005,4,22.0
Y85,M,CH,2006,8,21.0
Y85,M,CH,2007,11,19.0
Y85,M,CH,2008,9,17.0
Y85,M,CH,2009,11,24.0
Y85,M,CH,2010,16,29.0
Y85,M,CH,2011,20,21.0
Y85,M,CH,2012,15,17.0
Y85,M,CH,2013,30,19.0
Y85,M,CH,2014,30,17.0
Y85,M,CH,2015,30,35.0
Y85,M,CH,2016,25,34.0
Y85,M,CH,2017,33,37.0
Y85,M,CH,2018,16,43.0
Y85,M,CH,2019,12,42.0
Y85,F,CZ,2013,3,8.0
Y85,F,CZ,2014,5,13.0
Y85,F,CZ,2015,3,12.0
Y85,F,CZ,2016,10,21.0
Y85,F,CZ,2017,13,7.0
Y85,F,CZ,2018,4,2.0
Y85,F,CZ,2019,6,25.0
Y85,M,CZ,2013,1,8.0
Y85,M,CZ,2014,0,11.0
Y85,M,CZ,2015,1,13.0
Y85,M,CZ,2016,4,18.0
Y85,M,CZ,2017,2,9.0
Y85,M,CZ,2018,2,6.0
Y85,M,CZ,2019,3,29.0
Y85,F,DE,1995,352,204.0
Y85,F,DE,1996,248,171.0
Y85,F,DE,1997,303,190.0
Y85,F,DE,1998,205,178.0
Y85,F,DE,1999,233,187.0
Y85,F,DE,2000,121,121.0
Y85,F,DE,2001,100,95.0
Y85,F,DE,2002,99,99.0
Y85,F,DE,2003,142,99.0
Y85,F,DE,2004,135,179.0
Y85,F,DE,2005,98,175.0
Y85,F,DE,2006,89,186.0
Y85,F,DE,2007,96,167.0
Y85,F,DE,2008,106,213.0
Y85,F,DE,2009,74,133.0
Y85,F,DE,2010,48,103.0
Y85,F,DE,2011,70,100.0
Y85,F,DE,2012,70,88.0
Y85,F,DE,2013,81,90.0
Y85,F,DE,2014,111,120.0
Y85,F,DE,2015,133,117.0
Y85,F,DE,2016,96,204.0
Y85,F,DE,2017,99,244.0
Y85,F,DE,2018,95,194.0
Y85,F,DE,2019,125,273.0
Y85,M,DE,1995,96,71.0
Y85,M,DE,1996,90,72.0
Y85,M,DE,1997,95,71.0
Y85,M,DE,1998,88,82.0
Y85,M,DE,1999,95,76.0
Y85,M,DE,2000,61,55.0
Y85,M,DE,2001,50,54.0
Y85,M,DE,2002,42,45.0
Y85,M,DE,2003,49,45.0
Y85,M,DE,2004,43,69.0
Y85,M,DE,2005,44,67.0
Y85,M,DE,2006,37,89.0
Y85,M,DE,2007,44,89.0
Y85,M,DE,2008,42,122.0
Y85,M,DE,2009,27,83.0
Y85,M,DE,2010,41,58.0
Y85,M,DE,2011,35,64.0
Y85,M,DE,2012,39,62.0
Y85,M,DE,2013,53,76.0
Y85,M,DE,2014,61,88.0
Y85,M,DE,2015,65,88.0
Y85,M,DE,2016,55,123.0
Y85,M,DE,2017,53,165.0
Y85,M,DE,2018,56,136.0
Y85,M,DE,2019,86,182.0
Y85,F,DK,1990,3,3.0
Y85,F,DK,1991,1,2.0
Y85,F,DK,1992,2,3.0
Y85,F,DK,1993,6,1.0
Y85,F,DK,1994,2,3.0
Y85,F,DK,1995,3,1.0
Y85,F,DK,1996,7,5.0
Y85,F,DK,1997,5,4.0
Y85,F,DK,1998,3,3.0
Y85,F,DK,1999,6,1.0
Y85,F,DK,2000,2,4.0
Y85,F,DK,2001,4,3.0
Y85,F,DK,2002,8,0.0
Y85,F,DK,2003,2,0.0
Y85,F,DK,2004,5,2.0
Y85,F,DK,2005,7,3.0
Y85,F,DK,2006,3,0.0
Y85,F,DK,2007,3,3.0
Y85,F,DK,2008,5,2.0
Y85,F,DK,2009,2,3.0
Y85,F,DK,2010,6,1.0
Y85,F,DK,2011,5,6.0
Y85,F,DK,2012,3,2.0
Y85,F,DK,2013,3,3.0
Y85,F,DK,2014,2,4.0
Y85,F,DK,2015,4,3.0
Y85,F,DK,2016,5,3.0
Y85,F,DK,2017,4,6.0
Y85,F,DK,2018,5,12.0
Y85,F,DK,2019,8,6.0
Y85,M,DK,1990,5,2.0
Y85,M,DK,1991,3,0.0
Y85,M,DK,1992,3,1.0
Y85,M,DK,1993,3,1.0
Y85,M,DK,1994,1,2.0
Y85,M,DK,1995,6,1.0
Y85,M,DK,1996,2,3.0
Y85,M,DK,1997,1,1.0
Y85,M,DK,1998,4,0.0
Y85,M,DK,1999,3,4.0
Y85,M,DK,2000,0,0.0
Y85,M,DK,2001,4,3.0
Y85,M,DK,2002,4,0.0
Y85,M,DK,2003,3,0.0
Y85,M,DK,2004,1,0.0
Y85,M,DK,2005,4,2.0
Y85,M,DK,2006,4,4.0
Y85,M,DK,2007,2,2.0
Y85,M,DK,2008,5,1.0
Y85,M,DK,2009,4,1.0
Y85,M,DK,2010,1,2.0
Y85,M,DK,2011,3,2.0
Y85,M,DK,2012,3,1.0
Y85,M,DK,2013,8,5.0
Y85,M,DK,2014,6,3.0
Y85,M,DK,2015,7,2.0
Y85,M,DK,2016,5,3.0
Y85,M,DK,2017,4,1.0
Y85,M,DK,2018,7,7.0
Y85,M,DK,2019,9,5.0
Y85,F,EE,2000,0,0.0
Y85,F,EE,2001,0,1.0
Y85,F,EE,2002,0,3.0
Y85,F,EE,2003,1,5.0
Y85,F,EE,2004,0,2.0
Y85,F,EE,2005,0,1.0
Y85,F,EE,2006,3,2.0
Y85,F,EE,2007,3,2.0
Y85,F,EE,2008,6,3.0
Y85,F,EE,2009,2,1.0
Y85,F,EE,2010,3,4.0
Y85,F,EE,2011,2,2.0
Y85,F,EE,2012,3,5.0
Y85,F,EE,2013,5,3.0
Y85,F,EE,2014,2,2.0
Y85,F,EE,2015,10,2.0
Y85,F,EE,2016,7,8.0
Y85,F,EE,2017,8,7.0
Y85,F,EE,2018,8,5.0
Y85,F,EE,2019,5,6.0
Y85,M,EE,2000,0,0.0
Y85,M,EE,2001,0,0.0
Y85,M,EE,2002,0,0.0
Y85,M,EE,2003,0,1.0
Y85,M,EE,2004,1,0.0
Y85,M,EE,2005,0,0.0
Y85,M,EE,2006,0,0.0
Y85,M,EE,2007,2,1.0
Y85,M,EE,2008,1,0.0
Y85,M,EE,2009,2,1.0
Y85,M,EE,2010,2,1.0
Y85,M,EE,2012,0,2.0
Y85,M,EE,2013,1,0.0
Y85,M,EE,2014,2,1.0
Y85,M,EE,2015,3,2.0
Y85,M,EE,2016,1,3.0
Y85,M,EE,2017,6,1.0
Y85,M,EE,2018,0,2.0
Y85,M,EE,2019,4,2.0
Y85,F,ES,2002,62,22.0
Y85,F,ES,2003,64,20.0
Y85,F,ES,2004,87,10.0
Y85,F,ES,2005,109,24.0
Y85,F,ES,2006,130,50.0
Y85,F,ES,2007,112,67.0
Y85,F,ES,2008,76,69.0
Y85,F,ES,2009,71,85.0
Y85,F,ES,2010,83,126.0
Y85,F,ES,2011,82,98.0
Y85,F,ES,2012,90,121.0
Y85,F,ES,2013,109,169.0
Y85,F,ES,2014,116,130.0
Y85,F,ES,2015,141,89.0
Y85,F,ES,2016,149,131.0
Y85,F,ES,2017,202,307.0
Y85,F,ES,2018,212,250.0
Y85,F,ES,2019,239,241.0
Y85,M,ES,2002,49,19.0
Y85,M,ES,2003,47,11.0
Y85,M,ES,2004,68,7.0
Y85,M,ES,2005,77,19.0
Y85,M,ES,2006,74,19.0
Y85,M,ES,2007,85,35.0
Y85,M,ES,2008,52,51.0
Y85,M,ES,2009,51,89.0
Y85,M,ES,2010,47,68.0
Y85,M,ES,2011,77,71.0
Y85,M,ES,2012,48,96.0
Y85,M,ES,2013,80,147.0
Y85,M,ES,2014,97,92.0
Y85,M,ES,2015,94,92.0
Y85,M,ES,2016,124,141.0
Y85,M,ES,2017,128,293.0
Y85,M,ES,2018,153,230.0
Y85,M,ES,2019,149,194.0
Y85,F,FI,2009,5,1.0
Y85,F,FI,2010,8,2.0
Y85,F,FI,2011,6,1.0
Y85,F,FI,2012,10,2.0
Y85,F,FI,2013,1,0.0
Y85,F,FI,2014,3,3.0
Y85,F,FI,2015,8,6.0
Y85,F,FI,2016,6,5.0
Y85,F,FI,2017,1,4.0
Y85,F,FI,2018,6,4.0
Y85,F,FI,2019,7,1.0
Y85,M,FI,2009,4,1.0
Y85,M,FI,2010,3,1.0
Y85,M,FI,2011,2,0.0
Y85,M,FI,2012,3,0.0
Y85,M,FI,2013,5,1.0
Y85,M,FI,2014,3,6.0
Y85,M,FI,2015,3,0.0
Y85,M,FI,2016,4,10.0
Y85,M,FI,2017,5,0.0
Y85,M,FI,2018,4,7.0
Y85,M,FI,2019,6,3.0
Y85,F,FR,2006,26,
Y85,F,FR,2010,29,
Y85,M,FR,2006,24,
Y85,M,FR,2010,15,
Y85,F,HR,2013,9,8.0
Y85,F,HR,2014,10,10.0
Y85,F,HR,2015,12,14.0
Y85,F,HR,2016,10,11.0
Y85,F,HR,2017,17,20.0
Y85,F,HR,2018,11,11.0
Y85,F,HR,2019,19,9.0
Y85,M,HR,2013,3,8.0
Y85,M,HR,2014,7,8.0
Y85,M,HR,2015,11,13.0
Y85,M,HR,2016,6,8.0
Y85,M,HR,2017,5,11.0
Y85,M,HR,2018,8,4.0
Y85,M,HR,2019,9,7.0
Y85,F,HU,2008,7,1.0
Y85,F,HU,2009,7,2.0
Y85,F,HU,2010,12,2.0
Y85,F,HU,2011,7,0.0
Y85,F,HU,2012,15,1.0
Y85,F,HU,2013,10,4.0
Y85,F,HU,2014,11,7.0
Y85,F,HU,2015,15,4.0
Y85,F,HU,2016,12,8.0
Y85,F,HU,2017,9,4.0
Y85,F,HU,2018,12,25.0
Y85,F,HU,2019,12,19.0
Y85,M,HU,2008,4,1.0
Y85,M,HU,2009,2,1.0
Y85,M,HU,2010,2,0.0
Y85,M,HU,2011,6,3.0
Y85,M,HU,2012,1,4.0
Y85,M,HU,2013,7,4.0
Y85,M,HU,2014,6,7.0
Y85,M,HU,2015,9,7.0
Y85,M,HU,2016,4,5.0
Y85,M,HU,2017,8,5.0
Y85,M,HU,2018,12,22.0
Y85,M,HU,2019,4,21.0
Y85,F,IS,2011,0,0.0
Y85,F,IS,2013,0,0.0
Y85,F,IS,2014,0,0.0
Y85,F,IS,2015,0,1.0
Y85,F,IS,2016,0,0.0
Y85,F,IS,2017,0,0.0
Y85,F,IS,2018,2,0.0
Y85,F,IS,2019,1,0.0
Y85,M,IS,2011,0,0.0
Y85,M,IS,2013,0,0.0
Y85,M,IS,2014,0,0.0
Y85,M,IS,2015,0,0.0
Y85,M,IS,2016,0,0.0
Y85,M,IS,2017,0,0.0
Y85,M,IS,2018,0,0.0
Y85,M,IS,2019,1,1.0
Y85,F,IT,1990,36,20.0
Y85,F,IT,1991,28,22.0
Y85,F,IT,1992,29,23.0
Y85,F,IT,1993,29,32.0
Y85,F,IT,1994,25,37.0
Y85,F,IT,1995,25,24.0
Y85,F,IT,1996,27,19.0
Y85,F,IT,1997,30,33.0
Y85,F,IT,1998,26,28.0
Y85,F,IT,1999,29,32.0
Y85,F,IT,2000,47,44.0
Y85,F,IT,2001,17,40.0
Y85,F,IT,2002,31,17.0
Y85,F,IT,2003,47,25.0
Y85,F,IT,2004,42,33.0
Y85,F,IT,2005,49,44.0
Y85,F,IT,2006,40,61.0
Y85,F,IT,2007,53,41.0
Y85,F,IT,2008,58,35.0
Y85,F,IT,2009,49,32.0
Y85,F,IT,2010,71,45.0
Y85,F,IT,2011,65,57.0
Y85,F,IT,2012,70,62.0
Y85,F,IT,2013,74,70.0
Y85,F,IT,2014,65,54.0
Y85,F,IT,2015,91,83.0
Y85,F,IT,2016,75,60.0
Y85,F,IT,2017,93,54.0
Y85,F,IT,2018,77,64.0
Y85,F,IT,2019,121,68.0
Y85,M,IT,1990,20,10.0
Y85,M,IT,1991,16,18.0
Y85,M,IT,1992,11,18.0
Y85,M,IT,1993,18,25.0
Y85,M,IT,1994,18,25.0
Y85,M,IT,1995,16,11.0
Y85,M,IT,1996,12,18.0
Y85,M,IT,1997,20,14.0
Y85,M,IT,1998,13,16.0
Y85,M,IT,1999,16,17.0
Y85,M,IT,2000,18,27.0
Y85,M,IT,2001,14,17.0
Y85,M,IT,2002,16,12.0
Y85,M,IT,2003,27,14.0
Y85,M,IT,2004,27,23.0
Y85,M,IT,2005,32,34.0
Y85,M,IT,2006,35,33.0
Y85,M,IT,2007,33,16.0
Y85,M,IT,2008,47,33.0
Y85,M,IT,2009,38,31.0
Y85,M,IT,2010,40,23.0
Y85,M,IT,2011,37,36.0
Y85,M,IT,2012,44,49.0
Y85,M,IT,2013,63,35.0
Y85,M,IT,2014,44,32.0
Y85,M,IT,2015,77,73.0
Y85,M,IT,2016,65,37.0
Y85,M,IT,2017,82,33.0
Y85,M,IT,2018,65,32.0
Y85,M,IT,2019,97,31.0
Y85,F,LI,2008,0,0.0
Y85,F,LI,2009,0,0.0
Y85,F,LI,2010,0,0.0
Y85,F,LI,2011,0,1.0
Y85,F,LI,2012,0,0.0
Y85,F,LI,2013,0,0.0
Y85,F,LI,2014,0,0.0
Y85,F,LI,2015,0,0.0
Y85,F,LI,2016,0,0.0
Y85,F,LI,2017,0,0.0
Y85,F,LI,2018,0,0.0
Y85,F,LI,2019,0,0.0
Y85,M,LI,2008,0,0.0
Y85,M,LI,2009,1,0.0
Y85,M,LI,2010,0,0.0
Y85,M,LI,2011,0,0.0
Y85,M,LI,2012,0,0.0
Y85,M,LI,2013,0,0.0
Y85,M,LI,2014,0,0.0
Y85,M,LI,2015,0,0.0
Y85,M,LI,2016,0,0.0
Y85,M,LI,2017,0,0.0
Y85,M,LI,2018,0,0.0
Y85,M,LI,2019,0,0.0
Y85,F,LT,2013,2,20.0
